"C_EIN"|"C_Org_Name"|"ACTIVITY_ID"|"XML_DOCUMENT_ID"|"REGION"|"NUM_OFFICES"|"NUM_EMP"|"ACTIVITIES"|"ACTIVITY_TYPE"|"TOT_EXPENDITURES"
"01-0803956"|"SHEPHERDS HEART MINISTRY"|"48024"|"1767656"|"Israel"|"1"|"2"|"Program Services"|"Counseling"|"11881.0000"
"01-0803956"|"SHEPHERDS HEART MINISTRY"|"48025"|"1767656"|"Canada"|"1"|"2"|"Program Services"|"Counseling"|"13360.0000"
"01-0803956"|"SHEPHERDS HEART MINISTRY"|"48026"|"1767656"|"France"|"1"|"2"|"Program Services"|"Counseling"|"10157.0000"
"01-0803956"|"SHEPHERDS HEART MINISTRY"|"48027"|"1767656"|"Laos"|"1"|"2"|"Program Services"|"Counseling"|"3000.0000"
"01-0803956"|"SHEPHERDS HEART MINISTRY"|"48028"|"1767656"|"Mexico"|"1"|"2"|"Program Services"|"Counseling"|"10447.0000"
"01-0645457"|"EL PORTAL DE BELEN FOUNDATION"|"48214"|"1770791"|"CENTRAL AMERICA ANDTHE CARIBBEAN"|"0"|"0"|"PROGRAM SERVICES"|"PROVIDE ASSISTANCE FORTHE CARE, WELL-BEING AND CATHOLIC RELIGIOUS DEVELOPMENT"|"149852.0000"
"01-0651843"|"IRANIAN AMERICAN JEWISH FEDERATION OF NEW YORK INC"|"48215"|"1770792"|"ASHKELON"|"0"|"0"|"GRANTS TO RECIPIENTS LOCATED IN REGION"|""|"10000.0000"
"01-0651843"|"IRANIAN AMERICAN JEWISH FEDERATION OF NEW YORK INC"|"48216"|"1770792"|"JERUSALEM"|"0"|"0"|"GRANTS TO RECIPIENTS LOCATED IN REGION"|""|"15000.0000"
"01-0651843"|"IRANIAN AMERICAN JEWISH FEDERATION OF NEW YORK INC"|"48217"|"1770792"|"RAMAT - GAN"|"0"|"0"|"GRANTS TO RECIPIENTS LOCATED IN REGION"|""|"86000.0000"
"01-0651843"|"IRANIAN AMERICAN JEWISH FEDERATION OF NEW YORK INC"|"48218"|"1770792"|"NAHARIYA"|"0"|"0"|"GRANTS TO RECIPIENTS LOCATED IN REGION"|""|"36000.0000"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"59467"|"1770796"|"Central America and the Caribbean"|""|""|"Program Services"|"Self Insurance"|"1173316.0000"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"59468"|"1770796"|"Central America and the Caribbean"|""|""|"Program Services"|"Healthcare Services"|"1840.0000"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"59469"|"1770796"|"East Asia and the Pacific"|""|""|"Program Services"|"Healthcare Services"|"2247.0000"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"59470"|"1770796"|"East Asia and the Pacific"|""|""|"Program Services"|"Research Collaboration"|"444832.0000"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"59471"|"1770796"|"Europe (Including Iceland and Greenland)"|""|""|"Program Services"|"Healthcare Services"|"103082.0000"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"59472"|"1770796"|"Middle East and North Africa"|""|""|"Program Services"|"Healthcare Services"|"2186.0000"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"59473"|"1770796"|"North A merica"|""|""|"Program Services"|"Healthcare Services"|"40806.0000"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"59474"|"1770796"|"North A merica"|""|""|"Program Services"|"Recruiting"|"478.0000"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"59475"|"1770796"|"South A merica"|""|""|"Program Services"|"Healthcare Services"|"2150.0000"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"59476"|"1770796"|"Sub-Saharan Africa"|""|""|"Program Services"|"Healthcare Services"|"4966.0000"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"59477"|"1770796"|"Central America and the Caribbean"|""|""|"Investments, program- relate"|""|"130000.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49451"|"1774757"|"Europe (Including Iceland and Greenland)"|""|""|"Program Services"|"STUDY PROGRAM"|"256778.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49452"|"1774757"|"East Asia and the Pacific"|""|""|"Program Services"|"STUDY PROGRAM"|"69586.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49453"|"1774757"|"South America"|""|""|"Program Services"|"STUDY PROGRAM"|"120608.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49454"|"1774757"|"South Asia"|""|""|"Program Services"|"STUDY PROGRAM"|"119373.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49455"|"1774757"|"East Asia and the Pacific"|""|""|"Program Services"|"STUDENT RECRUITING"|"10881.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49456"|"1774757"|"Europe (Including Iceland and Greenland)"|""|""|"Program Services"|"STUDENT RECRUITING"|"6263.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49457"|"1774757"|"Central America and the Caribbean"|""|""|"Program Services"|"STUDENT RECRUITING"|"2559.0000"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"49458"|"1774757"|"North America"|""|""|"Program Services"|"STUDENT RECRUITING"|"2323.0000"
